week,platform,prompts
2026-06-08,chatgpt,4
2026-06-08,gemini,791
2026-06-15,gemini,381
2026-06-22,gemini,941
2026-06-29,chatgpt,854
2026-06-29,gemini,516
2026-07-06,chatgpt,1919
2026-07-06,gemini,29
2026-07-13,chatgpt,1071
2026-07-13,codex,3
2026-07-13,gemini,40
2026-07-20,chatgpt,271
2026-07-20,gemini,20
2026-07-27,chatgpt,557
2026-07-27,codex,34
2026-07-27,gemini,1
2026-08-03,chatgpt,329
2026-08-03,claude_web,1
2026-08-10,chatgpt,83
2026-08-17,chatgpt,943
2026-08-17,claude_code,163
2026-08-17,claude_web,134
2026-08-17,codex,64
2026-08-17,gemini,4
2026-08-24,chatgpt,756
2026-08-24,claude_code,172
2026-08-24,claude_web,1
2026-08-24,codex,123
2026-08-24,gemini,13
2026-08-31,chatgpt,363
2026-08-31,claude_code,392
2026-08-31,claude_web,111
2026-08-31,codex,90
2026-08-31,gemini,36
2026-09-07,chatgpt,196
2026-09-07,claude_code,237
2026-09-07,claude_web,49
2026-09-07,codex,58
2026-09-07,gemini,1
2026-09-14,chatgpt,150
2026-09-14,claude_code,92
2026-09-14,claude_web,296
2026-09-14,codex,30
