weekday,hour,prompts
1,0,114
1,1,144
1,2,257
1,3,99
1,4,64
1,5,44
1,6,32
1,7,50
1,8,99
1,9,6
1,10,57
1,11,64
1,12,33
1,13,58
1,14,40
1,15,29
1,16,66
1,17,112
1,18,139
1,19,38
1,20,84
1,21,73
1,22,36
1,23,57
2,0,73
2,1,47
2,2,44
2,3,186
2,4,91
2,5,92
2,6,34
2,7,37
2,8,47
2,9,72
2,10,47
2,11,7
2,12,22
2,13,21
2,14,22
2,15,34
2,16,36
2,17,48
2,18,79
2,19,93
2,20,159
2,21,61
2,22,94
2,23,147
3,0,182
3,1,79
3,2,130
3,3,103
3,4,55
3,5,45
3,6,21
3,7,29
3,8,13
3,9,1
3,10,47
3,11,19
3,12,29
3,13,93
3,14,70
3,15,31
3,16,36
3,17,80
3,18,85
3,19,79
3,20,79
3,21,120
3,22,153
3,23,71
4,0,75
4,1,119
4,2,126
4,3,95
4,4,111
4,5,86
4,6,75
4,7,12
4,8,274
4,9,273
4,10,64
4,11,4
4,12,15
4,13,67
4,14,21
4,15,45
4,16,60
4,17,103
4,18,150
4,19,106
4,20,74
4,21,112
4,22,87
4,23,57
5,0,95
5,1,297
5,2,130
5,3,60
5,4,34
5,5,33
5,6,40
5,7,43
5,8,16
5,9,51
5,10,20
5,11,30
5,12,53
5,13,91
5,14,76
5,15,37
5,16,82
5,17,102
5,18,101
5,19,103
5,20,118
5,21,116
5,22,89
5,23,136
6,0,104
6,1,66
6,2,120
6,3,87
6,4,81
6,5,42
6,6,74
6,7,61
6,8,33
6,9,26
6,10,9
6,11,12
6,12,49
6,13,65
6,14,44
6,15,61
6,16,80
6,17,87
6,18,56
6,19,51
6,20,95
6,21,88
6,22,110
6,23,96
7,0,74
7,1,60
7,2,46
7,3,49
7,4,34
7,5,10
7,6,4
7,7,18
7,8,54
7,9,147
7,10,15
7,11,10
7,12,38
7,13,77
7,14,60
7,15,98
7,16,100
7,17,107
7,18,90
7,19,128
7,20,60
7,21,87
7,22,109
7,23,49
