platform,bucket,bucket_order,sessions,pct
chatgpt,1,1,161,23.6
chatgpt,2,2,108,15.9
chatgpt,3-5,3,163,23.9
chatgpt,6-10,6,97,14.2
chatgpt,11-30,11,94,13.8
chatgpt,31+,31,58,8.5
claude_code,1,1,28,43.8
claude_code,2,2,5,7.8
claude_code,3-5,3,10,15.6
claude_code,6-10,6,9,14.1
claude_code,11-30,11,3,4.7
claude_code,31+,46,9,14.1
claude_web,1,1,27,36.0
claude_web,2,2,11,14.7
claude_web,3-5,3,16,21.3
claude_web,6-10,6,9,12.0
claude_web,11-30,13,7,9.3
claude_web,31+,38,5,6.7
codex,1,1,27,42.2
codex,2,2,8,12.5
codex,3-5,3,13,20.3
codex,6-10,6,9,14.1
codex,11-30,12,5,7.8
codex,31+,79,2,3.1
gemini,1,1,38,22.4
gemini,2,2,15,8.8
gemini,3-5,3,33,19.4
gemini,6-10,6,27,15.9
gemini,11-30,11,34,20.0
gemini,31+,32,23,13.5
