platform,activity,sessions,pct_of_platform,prompts
chatgpt,lookup,273,40.1,1553.0
chatgpt,chat,87,12.8,1029.0
chatgpt,learn,82,12.0,969.0
chatgpt,advice,70,10.3,1173.0
chatgpt,debug,54,7.9,476.0
chatgpt,build,32,4.7,804.0
chatgpt,plan,31,4.6,429.0
chatgpt,create,23,3.4,180.0
chatgpt,play,17,2.5,736.0
chatgpt,write,12,1.8,151.0
claude_code,build,50,78.1,1026.0
claude_code,lookup,4,6.3,5.0
claude_code,learn,3,4.7,5.0
claude_code,plan,3,4.7,6.0
claude_code,chat,2,3.1,2.0
claude_code,debug,1,1.6,10.0
claude_code,write,1,1.6,2.0
claude_web,lookup,31,41.3,249.0
claude_web,chat,13,17.3,131.0
claude_web,learn,12,16.0,24.0
claude_web,plan,6,8.0,48.0
claude_web,debug,5,6.7,93.0
claude_web,advice,4,5.3,15.0
claude_web,play,2,2.7,18.0
claude_web,create,1,1.3,9.0
claude_web,build,1,1.3,5.0
codex,build,34,53.1,202.0
codex,debug,14,21.9,41.0
codex,learn,5,7.8,104.0
codex,plan,4,6.3,32.0
codex,lookup,3,4.7,6.0
codex,create,2,3.1,9.0
codex,chat,1,1.6,1.0
codex,write,1,1.6,7.0
gemini,lookup,51,30.0,301.0
gemini,advice,43,25.3,1171.0
gemini,chat,34,20.0,716.0
gemini,learn,23,13.5,489.0
gemini,play,7,4.1,54.0
gemini,create,6,3.5,16.0
gemini,debug,4,2.4,17.0
gemini,build,1,0.6,8.0
gemini,write,1,0.6,1.0
