topic,sessions,prompts,web_sessions,cli_sessions,conversation_tokens,first_seen
minecraft-modding,109,2211.0,43,66,1927557.0,2026-07-15
ai-coding-agents,56,258.0,45,11,183624.0,2026-07-02
memes-humor,36,226.0,36,0,87526.0,2026-06-11
ai-plans-quotas,36,326.0,35,1,154853.0,2026-06-10
english-learning,31,679.0,30,1,270738.0,2023-02-27
3d-modeling,31,400.0,11,20,281712.0,2026-07-15
game-weapons,30,1084.0,9,21,844705.0,2026-07-12
ai-behaviour,28,453.0,28,0,108824.0,2026-06-11
game-performance,26,391.0,17,9,472146.0,2026-08-15
ai-news,26,145.0,25,1,88337.0,2026-07-09
unclear-topic,25,53.0,18,7,21893.0,2026-06-14
food-drinks,24,155.0,24,0,79211.0,2026-06-19
vpn-proxy,24,277.0,19,5,168943.0,2026-06-27
ai-access-issues,23,98.0,21,2,35374.0,2026-06-10
image-generation,23,104.0,22,1,38352.0,2026-07-02
chinese-language,23,276.0,23,0,187266.0,2026-06-12
llm-concepts,22,77.0,22,0,53980.0,2026-06-18
history,22,463.0,22,0,367500.0,2026-06-11
model-testing,22,199.0,19,3,53247.0,2026-06-13
flight-physics,21,1046.0,10,11,796484.0,2026-08-19
philosophy,20,259.0,20,0,184106.0,2026-06-11
small-talk,20,418.0,20,0,90621.0,2026-06-15
mathematics,20,128.0,19,1,113946.0,2026-06-14
programming-basics,18,197.0,14,4,79581.0,2026-07-04
general-knowledge,18,39.0,17,1,24122.0,2026-06-15
video-games,16,495.0,16,0,260868.0,2026-06-13
ai-and-society,16,143.0,16,0,55630.0,2026-07-04
remote-access,15,270.0,13,2,196681.0,2026-07-04
game-ai,15,259.0,5,10,248873.0,2026-07-10
payments-banking,14,72.0,14,0,38069.0,2026-06-17
what-if-scenarios,13,101.0,13,0,81934.0,2026-06-12
current-events,13,66.0,13,0,49439.0,2026-07-10
military,12,115.0,12,0,98009.0,2026-06-13
general-science,12,181.0,12,0,148000.0,2026-06-11
llm-api,12,106.0,9,3,57059.0,2026-07-10
aviation,12,113.0,10,2,48580.0,2026-06-14
electronics-gadgets,11,85.0,11,0,33844.0,2026-06-19
project-ideas,11,150.0,11,0,139880.0,2026-07-03
interactive-fiction,11,210.0,11,0,119221.0,2026-06-11
online-security,11,65.0,10,1,35447.0,2026-06-17
media-editing,11,71.0,3,8,37190.0,2026-07-02
books-film-tv,11,119.0,11,0,96595.0,2026-06-11
geography,11,117.0,11,0,62190.0,2026-06-13
politics,11,74.0,11,0,45816.0,2026-06-13
windows-system,9,16.0,5,4,9725.0,2026-07-13
higher-education,9,39.0,8,1,21874.0,2026-07-04
mcp-integration,9,48.0,6,3,34169.0,2026-07-19
hobbies,9,60.0,9,0,36953.0,2026-06-25
web-development,9,52.0,4,5,31219.0,2026-07-13
prompt-writing,9,68.0,8,1,47190.0,2026-07-12
mod-promotion,8,115.0,3,5,87030.0,2026-08-29
board-and-word-games,8,457.0,8,0,44503.0,2026-07-09
travel-planning,8,29.0,8,0,16272.0,2026-06-19
social-media,8,39.0,8,0,18917.0,2026-06-30
physics,8,48.0,8,0,41331.0,2026-06-20
side-income,7,77.0,7,0,44897.0,2026-06-15
law-regulation,7,31.0,7,0,17242.0,2026-07-12
data-analysis,7,117.0,2,5,49930.0,2026-09-01
air-travel,7,93.0,7,0,33867.0,2026-07-16
social-issues,7,31.0,7,0,9396.0,2026-07-11
economics,7,27.0,7,0,16864.0,2026-06-15
desktop-apps,7,26.0,4,3,14676.0,2026-07-13
cantonese,7,131.0,7,0,54216.0,2026-07-01
server-hosting,7,30.0,7,0,17437.0,2026-07-13
captcha-bots,6,39.0,3,3,18290.0,2026-07-14
phone-sim,6,27.0,6,0,11156.0,2026-07-19
ai-safety-filters,6,30.0,5,1,19944.0,2026-07-15
minecraft-server,6,484.0,5,1,286389.0,2026-08-21
game-development,6,110.0,5,1,104573.0,2026-07-10
shopping,6,61.0,6,0,27667.0,2026-06-14
housework,6,30.0,6,0,13892.0,2026-06-19
git-version-control,5,147.0,3,2,127330.0,2026-08-14
career-planning,5,15.0,5,0,9532.0,2026-07-04
internship-search,5,150.0,3,2,114311.0,2026-08-18
audio-generation,3,8.0,2,1,5499.0,2026-08-29
minecraft,3,41.0,3,0,18788.0,2026-08-23
game-netcode,3,57.0,3,0,74995.0,2026-08-27
shipping-delivery,3,7.0,3,0,2198.0,2026-06-30
translation,3,84.0,3,0,17070.0,2026-07-12
pc-hardware,2,16.0,2,0,5507.0,2026-08-03
office-software,2,15.0,2,0,6398.0,2026-08-30
mobile-development,1,2.0,1,0,757.0,2026-07-05
video-generation,1,46.0,1,0,23343.0,2026-07-04
