topic,session_ai,sessions,topic_sessions,pct_of_topic
minecraft-modding,chatgpt,63,109.0,57.8
minecraft-modding,claude,46,109.0,42.2
ai-coding-agents,chatgpt,45,56.0,80.4
ai-coding-agents,claude,10,56.0,17.9
ai-coding-agents,gemini,1,56.0,1.8
ai-plans-quotas,chatgpt,29,36.0,80.6
ai-plans-quotas,claude,6,36.0,16.7
ai-plans-quotas,gemini,1,36.0,2.8
memes-humor,chatgpt,26,36.0,72.2
memes-humor,gemini,6,36.0,16.7
memes-humor,claude,4,36.0,11.1
3d-modeling,claude,16,31.0,51.6
3d-modeling,chatgpt,15,31.0,48.4
english-learning,chatgpt,21,31.0,67.7
english-learning,gemini,8,31.0,25.8
english-learning,claude,2,31.0,6.5
game-weapons,claude,17,30.0,56.7
game-weapons,chatgpt,13,30.0,43.3
ai-behaviour,chatgpt,21,28.0,75.0
ai-behaviour,gemini,6,28.0,21.4
ai-behaviour,claude,1,28.0,3.6
ai-news,chatgpt,12,26.0,46.2
ai-news,claude,10,26.0,38.5
ai-news,gemini,4,26.0,15.4
game-performance,chatgpt,20,26.0,76.9
game-performance,claude,5,26.0,19.2
game-performance,gemini,1,26.0,3.8
unclear-topic,chatgpt,13,25.0,52.0
unclear-topic,gemini,9,25.0,36.0
unclear-topic,claude,3,25.0,12.0
food-drinks,chatgpt,21,24.0,87.5
food-drinks,gemini,3,24.0,12.5
vpn-proxy,chatgpt,18,24.0,75.0
vpn-proxy,gemini,3,24.0,12.5
vpn-proxy,claude,3,24.0,12.5
ai-access-issues,chatgpt,16,23.0,69.6
ai-access-issues,claude,4,23.0,17.4
ai-access-issues,gemini,3,23.0,13.0
chinese-language,chatgpt,16,23.0,69.6
chinese-language,gemini,6,23.0,26.1
chinese-language,claude,1,23.0,4.3
image-generation,chatgpt,18,23.0,78.3
image-generation,gemini,5,23.0,21.7
history,chatgpt,13,22.0,59.1
history,gemini,7,22.0,31.8
history,claude,2,22.0,9.1
llm-concepts,chatgpt,19,22.0,86.4
llm-concepts,gemini,2,22.0,9.1
llm-concepts,claude,1,22.0,4.5
model-testing,chatgpt,11,22.0,50.0
model-testing,gemini,6,22.0,27.3
model-testing,claude,5,22.0,22.7
flight-physics,chatgpt,11,21.0,52.4
flight-physics,claude,9,21.0,42.9
flight-physics,gemini,1,21.0,4.8
mathematics,chatgpt,11,20.0,55.0
mathematics,gemini,7,20.0,35.0
mathematics,claude,2,20.0,10.0
philosophy,chatgpt,12,20.0,60.0
philosophy,gemini,7,20.0,35.0
philosophy,claude,1,20.0,5.0
small-talk,chatgpt,15,20.0,75.0
small-talk,gemini,3,20.0,15.0
small-talk,claude,2,20.0,10.0
general-knowledge,chatgpt,14,18.0,77.8
general-knowledge,gemini,2,18.0,11.1
general-knowledge,claude,2,18.0,11.1
programming-basics,chatgpt,14,18.0,77.8
programming-basics,claude,3,18.0,16.7
programming-basics,gemini,1,18.0,5.6
ai-and-society,chatgpt,13,16.0,81.3
ai-and-society,claude,3,16.0,18.8
video-games,gemini,9,16.0,56.3
video-games,chatgpt,6,16.0,37.5
video-games,claude,1,16.0,6.3
game-ai,chatgpt,8,15.0,53.3
game-ai,claude,7,15.0,46.7
remote-access,chatgpt,10,15.0,66.7
remote-access,claude,4,15.0,26.7
remote-access,gemini,1,15.0,6.7
