tag_a,tag_b,sessions,lift
game-weapons,minecraft-modding,25,8.1
game-performance,minecraft-modding,22,8.2
flight-physics,minecraft-modding,18,8.3
3d-modeling,minecraft-modding,18,5.6
game-ai,minecraft-modding,13,8.4
3d-modeling,game-weapons,6,6.8
flight-physics,game-weapons,5,8.4
ai-coding-agents,remote-access,5,6.3
minecraft-modding,mod-promotion,5,6.0
ai-coding-agents,minecraft-modding,5,0.9
game-development,project-ideas,4,63.9
chinese-language,english-learning,4,5.9
ai-coding-agents,ai-plans-quotas,4,2.1
electronics-gadgets,shopping,3,47.9
data-analysis,programming-basics,3,25.1
history,politics,3,13.1
history,military,3,12.0
3d-modeling,aviation,3,8.5
ai-plans-quotas,payments-banking,3,6.3
ai-access-issues,ai-plans-quotas,3,3.8
ai-news,ai-plans-quotas,3,3.4
media-editing,minecraft-modding,3,2.6
