topic,sessions,multi_day_sessions,multi_day_pct,lift
game-ai,15,6,40.0,3.98
flight-physics,21,8,38.1,3.79
game-weapons,30,9,30.0,2.98
minecraft-modding,109,30,27.5,2.74
3d-modeling,31,8,25.8,2.57
video-games,16,4,25.0,2.49
ai-plans-quotas,36,7,19.4,1.93
game-performance,26,5,19.2,1.91
history,22,4,18.2,1.81
project-ideas,11,2,18.2,1.81
programming-basics,18,3,16.7,1.66
english-learning,31,5,16.1,1.6
current-events,13,2,15.4,1.53
chinese-language,23,3,13.0,1.3
food-drinks,24,3,12.5,1.24
ai-news,26,3,11.5,1.15
mathematics,20,2,10.0,0.99
model-testing,22,2,9.1,0.9
online-security,11,1,9.1,0.9
media-editing,11,1,9.1,0.9
geography,11,1,9.1,0.9
books-film-tv,11,1,9.1,0.9
ai-access-issues,23,2,8.7,0.86
aviation,12,1,8.3,0.83
llm-api,12,1,8.3,0.83
what-if-scenarios,13,1,7.7,0.76
payments-banking,14,1,7.1,0.71
remote-access,15,1,6.7,0.66
memes-humor,36,2,5.6,0.55
llm-concepts,22,1,4.5,0.45
vpn-proxy,24,1,4.2,0.41
unclear-topic,25,1,4.0,0.4
ai-coding-agents,56,2,3.6,0.36
ai-behaviour,28,1,3.6,0.36
image-generation,23,0,0.0,0.0
small-talk,20,0,0.0,0.0
philosophy,20,0,0.0,0.0
general-knowledge,18,0,0.0,0.0
ai-and-society,16,0,0.0,0.0
general-science,12,0,0.0,0.0
military,12,0,0.0,0.0
interactive-fiction,11,0,0.0,0.0
electronics-gadgets,11,0,0.0,0.0
politics,11,0,0.0,0.0
