topic,sessions,avg_prompts,avg_conversation_tokens,user_per_ai_token
minecraft-modding,109,20.3,17684.0,0.08
ai-coding-agents,56,4.6,3279.0,0.025
ai-plans-quotas,36,9.1,4301.0,0.024
memes-humor,36,6.3,2431.0,0.037
english-learning,31,21.9,8733.0,0.036
3d-modeling,31,12.9,9087.0,0.056
game-weapons,30,36.1,28157.0,0.093
ai-behaviour,28,16.2,3887.0,0.088
ai-news,26,5.6,3398.0,0.019
game-performance,26,15.0,18159.0,0.086
unclear-topic,25,2.1,876.0,0.022
vpn-proxy,24,11.5,7039.0,0.037
food-drinks,24,6.5,3300.0,0.035
chinese-language,23,12.0,8142.0,0.014
image-generation,23,4.5,1667.0,0.426
ai-access-issues,23,4.3,1538.0,0.037
llm-concepts,22,3.5,2454.0,0.024
history,22,21.0,16705.0,0.012
model-testing,22,9.0,2420.0,0.23
flight-physics,21,49.8,37928.0,0.085
small-talk,20,20.9,4531.0,0.053
philosophy,20,13.0,9205.0,0.026
mathematics,20,6.4,5697.0,0.018
general-knowledge,18,2.2,1340.0,0.011
programming-basics,18,10.9,4421.0,0.071
video-games,16,30.9,16304.0,0.021
ai-and-society,16,8.9,3477.0,0.032
game-ai,15,17.3,16592.0,0.058
remote-access,15,18.0,13112.0,0.062
payments-banking,14,5.1,2719.0,0.018
what-if-scenarios,13,7.8,6303.0,0.012
current-events,13,5.1,3803.0,0.017
general-science,12,15.1,12333.0,0.019
llm-api,12,8.8,4755.0,0.019
aviation,12,9.4,4048.0,0.048
military,12,9.6,8167.0,0.016
media-editing,11,6.5,3381.0,0.052
books-film-tv,11,10.8,8781.0,0.018
geography,11,10.6,5654.0,0.011
interactive-fiction,11,19.1,10838.0,0.024
project-ideas,11,13.6,12716.0,0.014
electronics-gadgets,11,7.7,3077.0,0.018
politics,11,6.7,4165.0,0.012
online-security,11,5.9,3222.0,0.018
